AREA,CODE
"Bristol, MA",80
"Bristol, RI",595
"Broadwater, MT",2146
"Bronx, NY",20
"Brooke, WV",2053
"Brookings, SD",2181
"Brooks, GA",2276
"Brooks, TX",2686
"Broome, NY",211
"Broomfield, CO",550
"Broward, FL",1160
"Brown, IL",2903
"Brown, IN",1928
"Brown, KS",2358
"Brown, MN",1785
"Brown, NE",2803
"Brown, OH",642
"Brown, SD",1648
"Brown, TX",1631
"Brown, WI",177
"Brule, SD",2936
"Brunswick, NC",352
"Brunswick, VA",957
"Bryan, GA",1728
"Bryan, OK",665
"Buchanan, IA",906
"Buchanan, MO",1384
"Buchanan, VA",2052
"Buckingham, VA",1902
"Bucks, PA",71
"Buena Vista City, VA",1119
"Buena Vista, IA",2071
"Buffalo, NE",627
"Buffalo, WI",1025
"Bullitt, KY",1427
"Bulloch, GA",1439
"Bullock, AL",2741
"Buncombe, NC",182
"Bureau, IL",1673
"Burke, GA",2058
"Burke, NC",403
"Burke, ND",3049
"Burleigh, ND",1403
"Burleson, TX",2844
"Burlington, NJ",105
"Burnet, TX",1588
"Burnett, WI",990
"Burt, NE",1115
"Butler, AL",907
"Butler, IA",1001
"Butler, KS",1457
"Butler, KY",2580
"Butler, MO",1587
"Butler, NE",2605
"Butler, OH",129
"Butler, PA",225
"Butte, CA",192
"Butte, ID",3013
"Butte, SD",2355
"Butts, GA",1817
"Cabarrus, NC",231
"Cabell, WV",1369
"Cabo Rojo, PR",2159
"Cache, UT",1340
"Caddo, LA",1237
"Caddo, OK",2029
"Caguas, PR",2149
"Calaveras, CA",634
"Calcasieu, LA",1259
"Caldwell, KY",2316
"Caldwell, LA",2708
"Caldwell, MO",2366
"Caldwell, NC",425
"Caldwell, TX",1632
"Caledonia, VT",786
"Calhoun, AL",328
"Calhoun, AR",2787
"Calhoun, FL",2519
"Calhoun, GA",2774
"Calhoun, IA",1078
"Calhoun, IL",2790
"Calhoun, MI",1313
"Calhoun, MS",2847
"Calhoun, SC",995
"Calhoun, TX",1847
"Calhoun, WV",2413
"Callahan, TX",2309
"Callaway, MO",1575
"Calloway, KY",1639
"Calumet, WI",603
"Calvert, MD",411
"Camas, ID",3073
"Cambria, PA",288
"Camden, GA",1526
"Camden, MO",1576
"Camden, NC",1076
"Camden, NJ",91
"Cameron, LA",3088
"Cameron, PA",2659
"Cameron, TX",1201
"Camp, TX",2328
"Campbell, KY",404
"Campbell, TN",1607
"Campbell, VA",559
"Campbell, WY",1558
